Invoice_Number,Invoice_Date,Customer_ID,Country,Product,Quantity,Amount
INV-100000,2025-01-04 08:25:04,CUST-7524,UK,Printer,4,3998.52
INV-100001,2025-09-09 11:57:31,CUST-8583,Spain,Printer,7,6059.32
INV-100002,2024-04-21 06:22:36,CUST-7416,Spain,Monitor,10,10107.45
INV-100003,2024-09-03 05:31:43,CUST-2112,Ireland,Headphones,7,3539.23
INV-100004,2024-02-09 11:53:21,CUST-5677,France,Laptop,9,9725.65
INV-100005,2025-11-17 22:54:31,CUST-3228,Spain,Tablet,2,2043.96
INV-100006,2024-03-21 15:03:02,CUST-8523,UK,Laptop,9,3916.44
INV-100007,2025-03-08 09:55:38,CUST-4019,Netherlands,Smartphone,1,895.74
INV-100008,2024-01-23 22:01:28,CUST-6146,France,Keyboard,8,6801.53
INV-100009,2025-01-09 19:26:52,CUST-1032,France,Tablet,4,4385.36
INV-100010,2025-07-22 04:05:22,CUST-7069,Spain,Keyboard,10,6243.13
INV-100011,2024-06-12 22:21:44,CUST-9265,Spain,Mouse,5,5394.47
INV-100012,2024-12-01 10:17:14,CUST-7204,Netherlands,Printer,2,85.99
INV-100013,2024-08-31 07:36:09,CUST-6842,Ireland,Tablet,6,649.97
INV-100014,2025-06-09 17:38:09,CUST-5670,Ireland,Smartphone,3,1381.82
INV-100015,2023-12-19 18:13:07,CUST-1586,UK,Keyboard,4,1837.76
INV-100016,2025-10-25 00:40:37,CUST-6188,Netherlands,Speaker,4,2297.45
INV-100017,2024-02-17 12:04:49,CUST-2205,UK,Monitor,1,318.37
INV-100018,2024-05-31 10:09:18,CUST-7647,UK,Headphones,1,85.41
INV-100019,2025-05-24 13:50:25,CUST-3880,France,Speaker,10,4715.97
INV-100020,2024-06-27 07:26:18,CUST-6300,Ireland,Printer,1,1047.7
INV-100021,2024-08-18 02:53:13,CUST-7399,Spain,Webcam,6,827.7
INV-100022,2024-12-21 06:01:38,CUST-5572,Spain,Laptop,9,7401.32
INV-100023,2024-10-06 11:40:29,CUST-3396,Netherlands,Monitor,10,10619.64
INV-100024,2024-01-19 08:26:19,CUST-1994,France,Mouse,7,1633.26
INV-100025,2024-08-04 20:38:43,CUST-5070,Germany,Smartphone,1,1115.01
INV-100026,2024-12-25 21:46:59,CUST-6720,Netherlands,Laptop,6,1325.04
INV-100027,2024-02-28 04:48:36,CUST-2136,UK,Headphones,8,5764.56
INV-100028,2025-04-10 04:03:18,CUST-3422,UK,Smartphone,9,5950.75
INV-100029,2025-06-12 13:17:44,CUST-5132,France,Keyboard,5,5598.66
INV-100030,2025-04-03 17:33:11,CUST-6201,Ireland,Webcam,1,968.4
INV-100031,2024-01-08 02:56:48,CUST-9634,Ireland,Speaker,3,3226.4
INV-100032,2024-02-28 18:28:52,CUST-7289,Ireland,Mouse,6,474.79
INV-100033,2025-07-26 03:43:13,CUST-4583,Germany,Mouse,10,9604.02
INV-100034,2024-06-11 09:08:22,CUST-4655,France,Headphones,5,4333.25
INV-100035,2025-10-13 18:34:24,CUST-1044,France,Printer,2,2235.5
INV-100036,2025-12-09 20:47:40,CUST-5545,Ireland,Laptop,6,422.51
INV-100037,2024-06-11 23:12:54,CUST-4566,Spain,Headphones,4,3072.33
INV-100038,2024-04-30 08:52:23,CUST-7825,Germany,Webcam,4,1649.6
INV-100039,2024-06-26 00:54:12,CUST-5942,Spain,Keyboard,5,1341.17
INV-100040,2025-04-06 12:32:56,CUST-9684,Ireland,Mouse,4,2281.28
INV-100041,2025-03-09 22:38:00,CUST-1555,Germany,Keyboard,7,4579.79
